id,name,email,phone_number,age,gender,city,country,registration_date,last_login,purchase_amount,product_category,feedback_score
146,Peter Smith,peter.smith@mail.net,'+1 576 183 7154,22,OTHER,San Diego,Germany,14-10-2021,13-05-2022 10:33,582.04,Food,1
212,Peter Jones,peter.jones@mail.net,'+1 221 925 1745,30,Female,San Diego,India,11-04-2021,05-12-2023 17:39,721.3,Food,1
795,Emily Miller,emily.miller@example.com,(693) 341-6412,19,Other,Los Angeles,Canada,28-12-2022,12-06-2025 06:30,998.73,Clothing,2
574,Mary Davis,mary.davis@example.com,(325) 645-1496,60,Male,San Diego,Mexico,03/27/2021,,449.73,Food,3
617,Peter Brown,peter.brown@example.com,(214) 571-8988,58,Male,Phoenix,France,31-01-2024,06/22/2025 22:38,690.56,Clothing,2
162,Michael Davis,michael.davis@test.org,601-146-6021,67,Otheer,Houston,UK,27-12-2020,04/25/2023 02:20,654.32,Clothing,1
308,John Davis,john.davis@test.org,(740) 192-1530,64,Male,Chicago,Australia,02-06-2022,01/31/2025 16:46,234.04,Books,4
164,Jane Williams,jane.williams@test.org,2057043788,18,Male,Chicago,Mexico,05-03-2024,16-02-2025 12:16,417.95,Electronics,4
22,John Wilson,john.wilson@test.org,,56,Male,Chicago,Mexico,05/15/2022,18-05-2023 18:54,97.75,Home Goods,1
699,Sarah Smith,sarah.smith@test.org,(475) 044-0749,32,Female,Chicago,Narnia,15-09-2024,05-01-2025 19:55,,Food,5
478,Emily Davis,emily.davis@example.com,762-057-5332,31,Male,Phoenix,Australia,11-09-2022,11-04-2025 06:58,659.42,Home Goods,2
439,Jane Wilson,jane.wilson@example.com,8325732540,44,Male,New York,Narnia,02/22/2022,30-01-2024 07:36,306.76,Home Goods,2
448,Sarah Davis,sarah.davis@mail.net,(811) 074-5510,44,Other,Phoenix,France,07-12-2020,30-10-2021 07:23,136.7,Clothing,4
13,Peter Wilson,peter.wilson@mail.net,'+1 168 987 3692,25,Otheer,Phoenix,UK,23-03-2021,02/24/2024 11:35,86.19,Home Goods,3
723,Mary Miller,mary.miller@mail.net,3626147168,25,Other,Phoenix,Australia,08-02-2023,,656.98,Books,5
697,Sarah Smith,,8842444448,29,MALE,San Antonio,France,04/26/2025,20-07-2025 11:44,,Home Goods,5
266,Mary Miller,mary.miller@test.org,808-706-5420,28,Male, New York ,Canada,25-10-2021,04-11-2024 13:55,642.08,Clothing,2
248,John Smith,john.smithtest.org,(641) 062-0405,65,Malee,Phoenix,Mexico,02-02-2024,15-12-2024 09:18,387.71,Sports,2
503,Mary Miller,mary.miller@test.org,2053806296,68,Male, San Antonio ,Germany,27-01-2025,,292.04,Home Goods,1
823,Emily Davis,emily.davis@example.coom,,57,Female,New York,Germany,27-03-2023,13-09-2023 02:34,641.99,Clothing,3
946,Michael Miller,michael.miller@mail.net,3425397240,63,Male,San Diego,India,13-09-2021,14-12-2021 22:46,227.78,Books,3
442,David Jones,david.jones@test.org,(165) 702-8906,41,Other,San Diego,Germany,31-03-2024,06/21/2024 21:11,563.78,Home Goods,4
422,Mary Williams,mary.williams@mail.net,(623) 503-2952,34,Male, Phoenix ,USA,18-03-2020,11-03-2025 12:54,522.88,Sports,1
4,Sarah Miller,sarah.miller@test.org,(744) 553-7260,30,Feemalee,Houston,France,26-03-2023,31-08-2023 05:16,767,Clothing,5
779,Jane Brown,jane.brown@test.org,6624065482,33,Female,Phoenix,Canada,21-08-2021,12-02-2023 18:53,50000,Food,4
726,Sarah Jones,sarah.jones@mail.net,'+1 000 504 8174,49,Female,Phoenix,USA,06-06-2023,21-09-2024 14:57,332.78,Electronics,1
9,Michael Williams,michael.williams@example.com,816-673-5655,,Feemalee,Houston,India,31-05-2025,06-03-2025 22:35,749.27,Cl0thing,1
909,Michael Wilson,michael.wilson@test.org,'+1 369 561 5788,36,Other,San Diego,UK,04/24/2021,08-09-2023 15:08,701.14,Sports,3
643,John Doe,john.doe@test.org,'+1 987 748 7950,20,Male,Houston,Germany,07-12-2020,02-12-2023 19:55,179.48,Electronics,1
753,Peter Smith,peter.smith@test.org,420-498-6629,28,MALE,Phoenix,India,11/30/2021,12/26/2022 18:35,309.35,Books,4
82,David Williams,david.williams@test.org,(630) 168-9153,63,Female,Phoenix,Germany,03-11-2025,06/24/2025 15:42,216.37,Home Goods,1
661,Michael Wilson,michael.wilson@example.com,(779) 383-7587,36,Female,San Antonio,USA,03/24/2025,09-07-2025 12:54,960.16,Home Goods,4
776,Sarah Wilson,sarah.wilson@test.org,(435) 189-7986,55,Other,San Antonio,Mexico,13-03-2021,04/18/2021 02:09,724.64,Home Goods,5
